"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010)."	
"Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper."	
	
See the paper for details and construction methods.	
	
Date 	composite HWI
1951M01	40
1951M02	41
1951M03	43
1951M04	42
1951M05	43
1951M06	41
1951M07	42
1951M08	42
1951M09	41
1951M10	42
1951M11	42
1951M12	42
1952M01	44
1952M02	43
1952M03	42
1952M04	43
1952M05	42
1952M06	42
1952M07	43
1952M08	43
1952M09	46
1952M10	48
1952M11	48
1952M12	48
1953M01	47
1953M02	47
1953M03	50
1953M04	49
1953M05	47
1953M06	45
1953M07	43
1953M08	41
1953M09	40
1953M10	36
1953M11	33
1953M12	30
1954M01	29
1954M02	28
1954M03	27
1954M04	27
1954M05	26
1954M06	27
1954M07	26
1954M08	26
1954M09	26
1954M10	26
1954M11	28
1954M12	29
1955M01	30
1955M02	32
1955M03	34
1955M04	34
1955M05	36
1955M06	38
1955M07	39
1955M08	41
1955M09	43
1955M10	42
1955M11	44
1955M12	46
1956M01	44
1956M02	45
1956M03	45
1956M04	45
1956M05	45
1956M06	44
1956M07	42
1956M08	43
1956M09	43
1956M10	45
1956M11	45
1956M12	43
1957M01	45
1957M02	43
1957M03	42
1957M04	40
1957M05	40
1957M06	38
1957M07	39
1957M08	37
1957M09	36
1957M10	34
1957M11	30
1957M12	29
1958M01	28
1958M02	26
1958M03	25
1958M04	24
1958M05	24
1958M06	25
1958M07	26
1958M08	27
1958M09	29
1958M10	29
1958M11	30
1958M12	32
1959M01	32
1959M02	34
1959M03	36
1959M04	38
1959M05	38
1959M06	40
1959M07	42
1959M08	40
1959M09	41
1959M10	40
1959M11	40
1959M12	40
1960M01	41
1960M02	41
1960M03	39
1960M04	38
1960M05	38
1960M06	37
1960M07	36
1960M08	35
1960M09	34
1960M10	32
1960M11	32
1960M12	30
1961M01	30
1961M02	30
1961M03	30
1961M04	30
1961M05	32
1961M06	32
1961M07	33
1961M08	34
1961M09	35
1961M10	37
1961M11	38
1961M12	38
1962M01	40
1962M02	39
1962M03	39
1962M04	39
1962M05	40
1962M06	39
1962M07	39
1962M08	38
1962M09	38
1962M10	37
1962M11	37
1962M12	37
1963M01	38
1963M02	38
1963M03	38
1963M04	38
1963M05	37
1963M06	37
1963M07	38
1963M08	38
1963M09	38
1963M10	39
1963M11	38
1963M12	40
1964M01	40
1964M02	40
1964M03	40
1964M04	42
1964M05	42
1964M06	43
1964M07	45
1964M08	44
1964M09	45
1964M10	45
1964M11	47
1964M12	47
